OrderNum,OrderType,CustomerType,CustName,CustState,ProdCategory,ProdNumber,ProdName,Quantity,Price,Discount,OrderTotal
1100974,Wholesale,Business,Corkery International ,Utah,Drone Kits,DK204,BYOD-300,81,$89.00 ,$17.80 ,"$7,191.20 "
1100975,Wholesale,Business,Corkery International ,Utah,Drones,DS302,DC-304 Drone,3,$395.00 ,$79.00 ,"$1,106.00 "
1100976,Wholesale,Business,Feest Inc.,Indiana,Blueprints,BP101,All Eyes Drone Blueprint,7,$9.99 ,$2.00 ,$67.93 
1100977,Retail,Individual,Cordelia Aspland,California,eBooks,EB513,Photograph Drones,1,$14.99 ,0,$14.99 
1100978,Wholesale,Business,Daugherty Group,New Mexico,Robot Kits,RK605,BYOR-3000,9,$214.00 ,$42.80 ,"$1,883.20 "
1100979,Retail,Individual,Geremy Krajcik,Hawaii,Robot Kits,RK606,BYOR-3535,1,$225.00 ,0,$225.00 
1100980,Wholesale,Business,Howe LLC,New Mexico,Blueprints,BP104,Cat Robot Blueprint,8,$4.99 ,$1.00 ,$38.92 
1100981,Wholesale,Business,Schuppe Inc.,Alabama,eBooks,EB514,Polar Robots,12,$23.99 ,$4.80 ,$283.08 
1100982,Wholesale,Business,Kiehn LLC,District of Columbia,Training Videos,TV808,Robotic Essentials,6,$34.99 ,$7.00 ,$202.94 
1100983,Retail,Business,Legros Inc.,South Carolina,eBooks,EB514,Polar Robots,24,$23.99 ,0,$575.76 
1100984,Wholesale,Business,Kutch Inc.,Virginia,Training Videos,TV808,Robotic Essentials,10,$34.99 ,$7.00 ,$342.90 
1100985,Retail,Individual,Hazlett Berisford,Florida,Blueprints,BP107,Ladybug Robot Blueprint,1,$12.00 ,0,$12.00 
1100986,Wholesale,Business,Fahey Forever Inc..,California,Blueprints,BP107,Ladybug Robot Blueprint,11,$12.00 ,$2.40 ,$129.60 
1100987,Wholesale,Business,Reilly LLC,Washington,Training Videos,TV806,Mapping with Drones,11,$49.00 ,$9.80 ,$529.20 
1100988,Wholesale,Business,Beahan Inc.,Hawaii,eBooks,EB509,GPS Drones,11,$19.99 ,$4.00 ,$215.89 
1100989,Wholesale,Business,Kassulke-Schneider,Tennessee,Training Videos,TV804,Drone Video Techniques,3,$37.99 ,$7.60 ,$106.37 
1100990,Retail,Individual,Ezekiel Sawney,New York,Blueprints,BP105,Creature Robot Arms Blueprint ,1,$12.00 ,0,$12.00 
1100991,Retail,Individual,Harvey Gottlieb,Texas,Training Videos,TV813,Virtual Reality Basics,1,$29.99 ,0,$29.99 
1100992,Retail,Individual,Todd Gleichner,District of Columbia,Robot Kits,RK603,BYOR-1500,3,$189.00 ,0,$567.00 
1100993,Retail,Individual,Jaime Gilling,California,Robots,RS702,MICR-23K Robot,1,$899.00 ,0,$899.00 
1100994,Wholesale,Business,Zemlak Inc.,California,Drones,DS303,DTD-7000 Drone,8,$450.00 ,$90.00 ,"$3,510.00 "
1100995,Wholesale,Business,Romaguera LLC,Ohio,Robot Kits,RK603,BYOR-1500,22,$189.00 ,$37.80 ,"$4,120.20 "
1100996,Wholesale,Business,Koss Industries,Nevada,Blueprints,BP102,Bsquare Robot Blueprint,6,$8.99 ,$1.80 ,$52.14 
1100997,Wholesale,Business,Boehm Inc.,Idaho,Blueprints,BP104,Cat Robot Blueprint,13,$4.99 ,$1.00 ,$63.87 
1100998,Retail,Individual,Luz O'Donoghue,Arizona,Training Videos,TV809,Understanding 3D Printing,1,$42.99 ,0,$42.99 
1100999,Wholesale,Business,Nolan Inc.,Massachusetts,Drone Kits,DK209,BYOD-550,89,$179.00 ,$35.80 ,"$15,895.20 "
1101000,Retail,Individual,Paula Muller,Missouri,eBooks,EB513,Photograph Drones,1,$14.99 ,0,$14.99 
1101001,Wholesale,Business,Nikolaus LLC,Virginia,Drone Kits,DK209,BYOD-550,104,$179.00 ,$35.80 ,"$18,580.20 "
1101002,Wholesale,Business,Wolff LLC,South Carolina,Training Videos,TV808,Robotic Essentials,8,$34.99 ,$7.00 ,$272.92 
1101003,Retail,Individual,Caty Howler,Texas,Blueprints,BP102,Bsquare Robot Blueprint,1,$8.99 ,0,$8.99 
1101004,Retail,Individual,Ilaire Selvester,North Carolina,Blueprints,BP106,Hexacopter Drone Blueprint,1,$8.99 ,0,$8.99 
1101005,Retail,Individual,Ariadne Bohan,Texas,Training Videos,TV801,Aerial Security,1,$36.99 ,0,$36.99 
1101006,Wholesale,Business,Hilpert Industries,Minnesota,eBooks,EB509,GPS Drones,13,$19.99 ,$4.00 ,$255.87 
1101007,Wholesale,Business,Kassulke-Schneider,Tennessee,eBooks,EB502,Building Your First Robot,3,$24.95 ,$4.99 ,$69.86 
1101008,Retail,Individual,Tamqrah Carrane,California,eBooks,EB507,Drone Building Essentials,1,$13.99 ,0,$13.99 
1101009,Wholesale,Business,Pixelford Photography,Indiana,Robot Kits,RK603,BYOR-1500,3,$189.00 ,$37.80 ,$529.20 
1101010,Retail,Individual,Staford Antoniak,Texas,Training Videos,TV804,Drone Video Techniques,1,$37.99 ,0,$37.99 
1101011,Retail,Individual,Donielle Bumpass,New York,Training Videos,TV801,Aerial Security,1,$36.99 ,0,$36.99 
1101012,Retail,Individual,Jody Neggrini,Alabama,Drone Kits,DK203,BYOD-220,1,$69.00 ,0,$69.00 
1101013,Wholesale,Business,Vandervort LLC,Ohio,Training Videos,TV813,Virtual Reality Basics,10,$29.99 ,$6.00 ,$293.90 
1101014,Retail,Individual,Elisabet Sproat,California,Robot Kits,RK605,BYOR-3000,1,$214.00 ,0,$214.00 
1101015,Wholesale,Business,Rosenbaum LLC,Alaska,Drones,DS306,DX-145 Drone,13,$250.00 ,$50.00 ,"$3,200.00 "
1101016,Wholesale,Business,Blick Inc.,Delaware,Drone Kits,DK204,BYOD-300,4,$89.00 ,$17.80 ,$338.20 
1101017,Retail,Individual,Chrisse Logesdale,Texas,Training Videos,TV808,Robotic Essentials,1,$34.99 ,0,$34.99 
1101018,Wholesale,Business,Daugherty Group,New Mexico,Robot Kits,RK602,BYOR-1000,44,$189.00 ,$37.80 ,"$8,278.20 "
1101019,Wholesale,Business,Thiel Group,Minnesota,Drone Kits,DK206,BYOD-400,67,$119.00 ,$23.80 ,"$7,949.20 "
1101020,Retail,Individual,Kenny Decroix,Indiana,Blueprints,BP107,Ladybug Robot Blueprint,1,$12.00 ,0,$12.00 
1101021,Retail,Individual,Courtenay Attle,Oregon,Robot Kits,RK603,BYOR-1500,2,$189.00 ,0,$378.00 
1101022,Retail,Individual,Allyn Palatino,Nebraska,Training Videos,TV809,Understanding 3D Printing,1,$42.99 ,0,$42.99 
1101023,Retail,Individual,Mellie Vasyatkin,Ohio,eBooks,EB507,Drone Building Essentials,1,$13.99 ,0,$13.99 
1101024,Retail,Individual,Boycey Binford,Texas,eBooks,EB509,GPS Drones,1,$19.99 ,0,$19.99 
1101025,Retail,Individual,Vernen Dodswell,Texas,Drones,DS306,DX-145 Drone,1,$250.00 ,0,$250.00 
1101026,Wholesale,Business,Harris Inc.,Oklahoma,Drone Kits,DK206,BYOD-400,8,$119.00 ,$23.80 ,$928.20 
1101027,Retail,Individual,Germaine Silk,New York,eBooks,EB507,Drone Building Essentials,1,$13.99 ,0,$13.99 
1101028,Wholesale,Business,Torp Inc.,Florida,eBooks,EB520,Understanding Arduino,9,$17.50 ,$3.50 ,$154.00 
1101029,Wholesale,Business,Kuvalis Group,Ohio,Blueprints,BP109,QuadroCopter Blueprint ,7,$10.99 ,$2.20 ,$74.73 
1101030,Wholesale,Business,Blue Sky Kites,Colorado,Training Videos,TV808,Robotic Essentials,10,$34.99 ,$7.00 ,$342.90 
1101031,Retail,Individual,Leopold Mallindine,Florida,eBooks,EB517,SCARA Robots,1,$19.50 ,0,$19.50 
1101032,Wholesale,Business,Streich LLC,Washington,eBooks,EB516,RTF Drones,10,$16.99 ,$3.40 ,$166.50 
1101033,Wholesale,Business,Schaefer Inc.,Massachusetts,Robot Kits,RK603,BYOR-1500,29,$189.00 ,$37.80 ,"$5,443.20 "
1101034,Retail,Individual,Hui Bashirian,South Carolina,Robots,RS702,MICR-23K Robot,1,$899.00 ,0,$899.00 
1101035,Wholesale,Business,Gottlieb-Jenkins,West Virginia,Drones,DS307,MICR-564K Drone,8,$499.00 ,$99.80 ,"$3,892.20 "
1101036,Retail,Individual,David Powlowski,Connecticut,eBooks,EB509,GPS Drones,1,$19.99 ,0,$19.99 
1101037,Wholesale,Business,Cartwright LLC,Iowa,Blueprints,BP105,Creature Robot Arms Blueprint ,3,$12.00 ,$2.40 ,$33.60 
1101038,Wholesale,Business,Wehner and Sons,California,eBooks,EB503,Building Your Own Drone,7,$24.99 ,$5.00 ,$169.93 
1101039,Wholesale,Business,Stoltenberg LLC,New York,eBooks,EB507,Drone Building Essentials,10,$13.99 ,$2.80 ,$137.10 
1101040,Retail,Business,Schiller LLC,Pennsylvania,Training Videos,TV805,Industrial 3D Printing ,3,$49.00 ,0,$147.00 
1101041,Retail,Individual,Peg Claire,Florida,Drones,DS306,DX-145 Drone,1,$250.00 ,0,$250.00 
1101042,Wholesale,Business,Raynor LLC,Missouri,Drones,DS305,DTI-84 Drone,6,$455.00 ,$91.00 ,"$2,639.00 "
1101043,Wholesale,Business,O'Kon Inc.,Florida,Blueprints,BP106,Hexacopter Drone Blueprint,12,$8.99 ,$1.80 ,$106.08 
1101044,Wholesale,Business,Kutch Inc.,Virginia,Training Videos,TV806,Mapping with Drones,18,$49.00 ,$9.80 ,$872.20 
1101045,Retail,Individual,Nat Lang,Missouri,Blueprints,BP109,QuadroCopter Blueprint ,1,$10.99 ,0,$10.99 
1101046,Wholesale,Business,LMD Resources,New Hampshire,Drone Kits,DK203,BYOD-220,5,$69.00 ,$13.80 ,$331.20 
1101047,Retail,Individual,Louis Rodriguez,Florida,Blueprints,BP107,Ladybug Robot Blueprint,1,$12.00 ,0,$12.00 
1101048,Retail,Individual,Sallyann Simmank,California,Drone Kits,DK201,BYOD-100,1,$54.00 ,0,$54.00 
1101049,Wholesale,Business,Marvin Inc.,Kansas,Robot Kits,RK602,BYOR-1000,11,$189.00 ,$37.80 ,"$2,041.20 "
1101050,Wholesale,Business,Robel Inc.,Tennessee,Training Videos,TV803,Cloud Computing,5,$29.99 ,$6.00 ,$143.95 
1101051,Retail,Individual,Alaric Blanchard,Oklahoma,Blueprints,BP110,Sleepy Eye Blueprint,1,$11.99 ,0,$11.99 
1101052,Wholesale,Business,Yost LLC,Florida,eBooks,EB511,Helicopter Drones,81,$20.95 ,$4.19 ,"$1,692.76 "
1101053,Wholesale,Business,Bosco Group,South Carolina,Robot Kits,RK606,BYOR-3535,3,$225.00 ,$45.00 ,$630.00 
1101054,Retail,Individual,Tonni Schumm,Missouri,Drone Kits,DK201,BYOD-100,3,$54.00 ,0,$162.00 
1101055,Wholesale,Business,Jacobi LLC,Arizona,Drones,DS306,DX-145 Drone,6,$250.00 ,$50.00 ,"$1,450.00 "
1101056,Wholesale,Business,Rath LLC,Minnesota,eBooks,EB521,Understanding Artificial Intelligence,10,$19.50 ,$3.90 ,$191.10 
1101057,Retail,Individual,Sibyl Siret,Illinois,Robot Kits,RK603,BYOR-1500,1,$189.00 ,0,$189.00 
1101058,Retail,Individual,Jessika Gaspard,Ohio,eBooks,EB520,Understanding Arduino,1,$17.50 ,0,$17.50 
1101059,Retail,Individual,Giacobo Knightsbridge,Oregon,Robot Kits,RK603,BYOR-1500,1,$189.00 ,0,$189.00 
1101060,Wholesale,Business,Donnelly Group,Montana,Robot Kits,RK606,BYOR-3535,4,$225.00 ,$45.00 ,$855.00 
1101061,Wholesale,Business,Bauch Group,Pennsylvania,eBooks,EB503,Building Your Own Drone,11,$24.99 ,$5.00 ,$269.89 
1101062,Wholesale,Business,Blue Sky Kites,Colorado,Training Videos,TV806,Mapping with Drones,7,$49.00 ,$9.80 ,$333.20 
1101063,Wholesale,Business,LMD Resources,New Hampshire,Blueprints,BP110,Upside Down Robot Blueprint,3,$12.00 ,$2.40 ,$33.60 
1101064,Retail,Business,Kerluke Inc.,Utah,Drone Kits,DK204,BYOD-300,85,$89.00 ,0,"$7,565.00 "
1101065,Retail,Individual,Goober Louw,Ohio,Drones,DS301,DA-SA702 Drone,1,$399.00 ,0,$399.00 
1101066,Retail,Individual,Gregory Sikora,Florida,eBooks,EB505,Delivery Drones,1,$14.99 ,0,$14.99 
1101067,Retail,Individual,Hansiain Suttaby,North Carolina,eBooks,EB506,Delta Robots,1,$16.99 ,0,$16.99 
1101068,Retail,Individual,Madalyn Dimnage,Illinois,eBooks,EB508,Fixed Wing Drones,1,$15.50 ,0,$15.50 
1101069,Wholesale,Business,Deckow Inc.,New York,eBooks,EB520,Understanding Arduino,3,$17.50 ,$3.50 ,$49.00 
1101070,Wholesale,Business,Zoo Technologies,Hawaii,Blueprints,BP108,Panda Robot Blueprint,8,$7.99 ,$1.60 ,$62.32 
1101071,Wholesale,Business,Donnelly Group,Montana,eBooks,EB501,Articulated Robots,9,$23.99 ,$4.80 ,$211.11 
1101072,Retail,Individual,Corey Flecknoe,Louisiana,Blueprints,BP109,QuadroCopter Blueprint ,1,$10.99 ,0,$10.99 
1101073,Retail,Individual,Ellen Braun,North Carolina,Training Videos,TV808,Robotic Essentials,1,$34.99 ,0,$34.99 
1101074,Retail,Individual,Romain Roston,Texas,Drone Kits,DK201,BYOD-100,1,$54.00 ,0,$54.00 
1101075,Retail,Individual,Peter Grimes,Maine,Training Videos,TV806,Mapping with Drones,1,$49.00 ,0,$49.00 
1101076,Wholesale,Business,The Orn Company,Georgia,Drones,DS301,DA-SA702 Drone,7,$399.00 ,$79.80 ,"$2,713.20 "
1101077,Wholesale,Business,Balistreri Group,Tennessee,Drones,DS303,DTD-7000 Drone,8,$450.00 ,$90.00 ,"$3,510.00 "
1101078,Wholesale,Business,Wintheiser Inc.,Oregon,Training Videos,TV809,Understanding 3D Printing,6,$42.99 ,$8.60 ,$249.34 
1101079,Wholesale,Business,Kuvalis Group,Ohio,Blueprints,BP110,Sleepy Eye Blueprint,32,$11.99 ,$2.40 ,$381.28 
1101080,Wholesale,Business,Waelchi Inc.,New York,eBooks,EB521,Understanding Artificial Intelligence,6,$19.50 ,$3.90 ,$113.10 
1101081,Wholesale,Business,Hamill Inc.,Florida,Training Videos,TV806,Mapping with Drones,3,$49.00 ,$9.80 ,$137.20 
1101082,Wholesale,Business,Effertz LLC,Washington,eBooks,EB518,Single Rotor Drones,8,$14.99 ,$3.00 ,$116.92 
1101083,Retail,Individual,Myrilla Deehan,West Virginia,Robot Kits,RK603,BYOR-1500,1,$189.00 ,0,$189.00 
1101084,Retail,Individual,Norry Colleymore,Tennessee,eBooks,EB521,Understanding Artificial Intelligence,1,$19.50 ,0,$19.50 
1101085,Wholesale,Business,Wintheiser Inc.,Oregon,Blueprints,BP108,Panda Robot Blueprint,10,$7.99 ,$1.60 ,$78.30 
1101086,Wholesale,Business,Bashirian International,Illinois,eBooks,EB513,Photograph Drones,9,$14.99 ,$3.00 ,$131.91 
1101087,Retail,Individual,Timothy Weissnat,Alaska,eBooks,EB521,Understanding Artificial Intelligence,1,$19.50 ,0,$19.50 
1101088,Wholesale,Business,Cremin LLC,Colorado,Drones,DS302,DC-304 Drone,25,$395.00 ,$79.00 ,"$9,796.00 "
1101089,Wholesale,Business,Lehner Inc.,Tennessee,Blueprints,BP101,All Eyes Drone Blueprint,99,$9.99 ,$2.00 ,$987.01 
1101090,Wholesale,Business,Herzog Group,California,Robot Kits,RK606,BYOR-3535,58,$223.00 ,$44.60 ,"$12,889.40 "
1101091,Wholesale,Business,Treutel Group,New York,Robots,RS707,RXW-9807 Robot,7,$599.00 ,$119.80 ,"$4,073.20 "
1101092,Retail,Individual,Harriot Lempenny,Texas,Training Videos,TV812,Understanding Raspberry PI,1,$28.99 ,0,$28.99 
1101093,Wholesale,Business,Stroman Inc.,Pennsylvania,Training Videos,TV806,Mapping with Drones,10,$49.00 ,$9.80 ,$480.20 
1101094,Retail,Individual,Denis Whillock,Idaho,Robot Kits,RK603,BYOR-1500,1,$189.00 ,0,$189.00 
1101095,Retail,Individual,Carree Weldon,California,Drones,DS303,DTD-7000 Drone,1,$450.00 ,0,$450.00 
1101096,Wholesale,Business,Lockman Group,Kansas,Blueprints,BP104,Cat Robot Blueprint,10,$4.99 ,$1.00 ,$48.90 
1101097,Wholesale,Business,Volkman LLC,Maryland,eBooks,EB508,Fixed Wing Drones,9,$15.50 ,$3.10 ,$136.40 
1101098,Wholesale,Business,Hammes Inc.,Michigan,Drone Kits,DK209,BYOD-550,3,$179.00 ,$35.80 ,$501.20 
1101099,Retail,Individual,Devin Tremblay,California,eBooks,EB509,GPS Drones,1,$19.99 ,0,$19.99 
1101100,Retail,Individual,Roxi Foro,California,Drones,DS303,DTD-7000 Drone,1,$450.00 ,0,$450.00 
1101101,Wholesale,Business,Sauer AI Tech,Nevada,Training Videos,TV809,Understanding 3D Printing,10,$42.99 ,$8.60 ,$421.30 
1101102,Retail,Business,Schiller LLC,Pennsylvania,eBooks,EB502,Building Your First Robot,60,$24.95 ,0,"$1,497.00 "
1101103,Wholesale,Business,Feest Inc.,Indiana,eBooks,EB514,Polar Robots,4,$23.99 ,$4.80 ,$91.16 
1101104,Wholesale,Business,Moore LLC,Indiana,Training Videos,TV807,Open Source Code,9,$32.95 ,$6.59 ,$289.96 
1101105,Retail,Individual,Caryn Callington,Texas,eBooks,EB508,Fixed Wing Drones,1,$15.50 ,0,$15.50 
1101106,Retail,Individual,Reggie Gleason,Georgia,Blueprints,BP104,Cat Robot Blueprint,1,$4.99 ,0,$4.99 
1101107,Wholesale,Business,Metz Group,Delaware,eBooks,EB521,Understanding Artificial Intelligence,17,$19.50 ,$3.90 ,$327.60 
1101108,Wholesale,Business,Stoltenberg LLC,New York,Robot Kits,RK606,BYOR-3535,7,$224.00 ,$44.80 ,"$1,523.20 "
1101109,Wholesale,Business,Schaefer Inc.,New Mexico,Drone Kits,DK208,BYOD-500,5,$167.00 ,$33.40 ,$801.60 
1101110,Wholesale,Business,Frami LLC,Louisiana,Drone Kits,DK203,BYOD-220,8,$69.00 ,$13.80 ,$538.20 
1101111,Retail,Individual,Reina Heller,Minnesota,Robot Kits,RK602,BYOR-1000,3,$189.00 ,0,$567.00 
1101112,Wholesale,Business,Murazik Inc.,Arizona,Drone Kits,DK209,BYOD-550,12,$179.00 ,$35.80 ,"$2,112.20 "
1101113,Retail,Individual,Linzy Guinery,California,Training Videos,TV802,AI for Educators,1,$49.95 ,0,$49.95 
1101114,Retail,Individual,Cami Adlem,New Jersey,Robot Kits,RK605,BYOR-3000,1,$214.00 ,0,$214.00 
1101115,Retail,Individual,Tamarra Brownlie,Illinois,Drones,DS302,DC-304 Drone,1,$395.00 ,0,$395.00 
1101116,Retail,Individual,Margarethe Whates,Florida,Training Videos,TV809,Understanding 3D Printing,1,$42.99 ,0,$42.99 
1101117,Retail,Individual,Irwin Rable,District of Columbia,Drone Kits,DK206,BYOD-400,1,$119.00 ,0,$119.00 
1101118,Wholesale,Business,Smith Technologies,New York,Blueprints,BP102,Bsquare Robot Blueprint,103,$8.99 ,$1.80 ,$924.17 
1101119,Wholesale,Business,Bradtke Inc.,Washington,Drone Kits,DK204,BYOD-300,9,$89.00 ,$17.80 ,$783.20 
1101120,Wholesale,Business,Smith Technologies,New York,Training Videos,TV813,Virtual Reality Basics,6,$29.99 ,$6.00 ,$173.94 
1101121,Wholesale,Business,Blue Sky Kites,Colorado,Robot Kits,RK603,BYOR-1500,11,$189.00 ,$37.80 ,"$2,041.20 "
1101122,Wholesale,Business,Boehm Inc.,Idaho,Training Videos,TV811,Understanding Drone Regulations,3,$27.50 ,$5.50 ,$77.00 
1101123,Wholesale,Business,Mohr Group,Louisiana,Robot Kits,RK603,BYOR-1500,6,$189.00 ,$37.80 ,"$1,096.20 "
1101124,Wholesale,Business,Kohler LLC,Georgia,Drones,DS306,DX-145 Drone,6,$250.00 ,$50.00 ,"$1,450.00 "
1101125,Retail,Individual,Idaline Lagadu,Florida,eBooks,EB507,Drone Building Essentials,1,$13.99 ,0,$13.99 
1101126,Retail,Individual,Kaylyn Stonner,New Mexico,Drone Kits,DK201,BYOD-100,1,$54.00 ,0,$54.00 
1101127,Wholesale,Business,Spinka LLC,Nevada,eBooks,EB509,GPS Drones,8,$19.99 ,$4.00 ,$155.92 
1101128,Wholesale,Business,Gleason LLC,Louisiana,Drone Kits,DK209,BYOD-550,11,$179.00 ,$35.80 ,"$1,933.20 "
1101129,Retail,Individual,Joanne Klein-Satterfield,Texas,Robot Kits,RK603,BYOR-1500,1,$189.00 ,0,$189.00 
1101130,Wholesale,Business,Waelchi Inc.,New York,eBooks,EB520,Understanding Arduino,3,$17.50 ,$3.50 ,$49.00 
1101131,Retail,Individual,Eldon Eloi,Massachusetts,Blueprints,BP110,Sleepy Eye Blueprint,1,$11.99 ,0,$11.99 
1101132,Wholesale,Business,Bradtke Inc.,Washington,eBooks,EB518,Single Rotor Drones,40,$14.99 ,$3.00 ,$596.60 
1101133,Retail,Individual,Tony Eichmann,California,Robots,RS705,RQTE-554 Robot,1,$684.00 ,0,$684.00 
1101134,Wholesale,Business,Romaguera LLC,Ohio,Blueprints,BP101,All Eyes Drone Blueprint,102,$9.99 ,$2.00 ,"$1,016.98 "
1101135,Wholesale,Business,Hessel LLC,Pennsylvania,eBooks,EB508,Fixed Wing Drones,7,$15.50 ,$3.10 ,$105.40 
1101136,Retail,Individual,Michelina Jennick,Iowa,eBooks,EB512,Multi Rotor Drones,1,$24.95 ,0,$24.95 
1101137,Wholesale,Business,Wyman Institute,Georgia,Robot Kits,RK602,BYOR-1000,10,$189.00 ,$37.80 ,"$1,852.20 "
1101138,Wholesale,Business,Romaguera LLC,Ohio,Drones,DS306,DX-145 Drone,4,$250.00 ,$50.00 ,$950.00 
1101139,Retail,Individual,Matty Sueter,California,eBooks,EB501,Articulated Robots,1,$23.99 ,0,$23.99 
1101140,Retail,Individual,Danice Drains,California,eBooks,EB511,Helicopter Drones,1,$20.95 ,0,$20.95 
1101141,Wholesale,Business,Kuhn Group,Texas,Drone Kits,DK206,BYOD-400,72,$119.00 ,$23.80 ,"$8,544.20 "
1101142,Retail,Individual,Rodi Conner,District of Columbia,eBooks,EB521,Understanding Artificial Intelligence,1,$19.50 ,0,$19.50 
